Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1qw2rsoB66rYi9GF1vnXMB,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,0,"Beautiful vocals with a great folk influence for this cover/remix. So really nice stylistic transformation. Unfortunately, the original song doesn't have much in terms of melody rhythm of harmonics which feels very restrictive, On top of that, there doesn't seem to be much of a story, more of a jest,",e892aa3abc704c919b93944a0ff326f6
spotify:track:2fXKyAyPrEa24c6PJyqznF,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,0,"A very straightforward song, however, it has excellent build by dramatic layering which support very well the narrative escalation. It's a clear message and it gets there in a very authentic way, even the melodic and harmonic monotony can't prevent a nice listening experience",e892aa3abc704c919b93944a0ff326f6
spotify:track:2LN8mDsvMvG7JU69vtpLhk,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,0,"Didn't know this song, so thank you for submitting. Very strong expressive delivery of a story full of great imagery and dramatic irony. The music is clearly the supporting cast, helping the dramatic escalation. I enjoyed listening to it.",e892aa3abc704c919b93944a0ff326f6
spotify:track:3hb2ScEVkGchcAQqrPLP0R,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,0,"Great production, a good hook with a unique vocal timbre. But the song as a whole or the story doesn't strike a chord with me. Probably doesn't help that It's been played zillions of times on the radio.",e892aa3abc704c919b93944a0ff326f6
spotify:track:1gsQmDnyXfq6jPIXYCPKHB,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,0,"Didn't know this song from New Order, so thank you for submitting. The music however is very non-expressive for me, with very little tonal nuance and no development. So maybe that's just a way to focus the listener on the story, but also there I found it too literal for and ambiguous story.",e892aa3abc704c919b93944a0ff326f6
spotify:track:3qpJzh7qdmHVokaYdeZWfR,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,5,"Raw, gripping and honest. This indeed very much describes and makes you feel the sufferings of someone suffering from depression or psychosis. However, some form of this dialog is present in everyone. There is a lot of emotion in his delivery, and the simple guitar does a great job in supporting this great portrayal. Didn't know this song, so thank you for submitting. ",e892aa3abc704c919b93944a0ff326f6
spotify:track:3UmaczJpikHgJFyBTAJVoz,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,1,"A classic in storytelling and a great illustration of obsessive fans. For me, It lacks development musically to underpin the escalation in the story. but that's likely a stylistic choice. The delivery and flow however is unmatched. A great song.",e892aa3abc704c919b93944a0ff326f6
spotify:track:4NnWuGQujzWUEg0uZokO5M,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,0,"I didn't find much of a story in this one, and the music didn't do much for me either, unfortunately. One-dimensional, conventional, mediocre performance...",e892aa3abc704c919b93944a0ff326f6
spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,0,"Predictable story, but nicely done and enjoyable. Some nice variation in flow of lyrics. Musically, not much to get here except an overall relaxed feeling. ",e892aa3abc704c919b93944a0ff326f6
spotify:track:6crBy2sODw2HS53xquM6us,cb32b95f19b94a969db5e02c6102bb00,2025-11-26T01:01:03Z,4,"a fun story AND a good song? Apparently it can be done. This is the perfect combination of Jack Black's comedic and musical genius. great build and escalation as the story unfolds, great variety and contrast in melody and rhythm. For my taste they could have worked in a bit more harmonic variation, but that's very clearly a stylistic choice.",e892aa3abc704c919b93944a0ff326f6
